Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
219.81,1,0,1
220.01,1,0,1
220.21,1,0,1
220.41,1,0,1
220.61,1,0,1
220.81,1,0,1
221.01,1,0,1
221.21,1,0,1
221.41,1,0,1
221.61,1,1,1
221.82,1,0,1
222.02,1,0,1
222.21,1,1,1
222.41,1,0,1
222.62,1,0,1
222.82,1,0,1
223.02,1,0,1
223.22,1,0,1
223.42,1,1,1
223.62,1,0,1
223.82,1,1,1
224.02,1,0,1
224.22,1,0,1
224.42,1,0,1
224.62,1,0,1
224.82,1,0,1
225.01,1,0,1
225.21,1,0,1
225.41,1,0,1
225.61,1,0,1
225.81,1,0,1
226.01,1,0,1
226.21,1,0,1
226.42,1,0,1
226.62,1,0,1
226.82,1,0,1
227.02,1,0,1
227.22,1,0,1
227.42,1,0,1
227.61,1,1,1
227.82,1,0,1
228.02,1,0,1
228.22,1,1,1
228.42,1,0,1
228.62,1,0,1
228.82,1,0,1
229.01,1,0,1
229.21,1,0,1
229.41,1,0,1
229.61,1,0,1
229.82,1,0,1
230.02,1,1,1
230.22,1,0,1
230.42,1,0,1
230.62,1,1,1
230.82,1,0,1
231.02,1,0,1
231.22,1,0,1
231.41,1,1,1
231.61,1,0,1
231.81,1,1,1
232.01,1,0,1
232.21,1,0,1
232.41,1,0,1
232.61,1,0,1
232.82,1,0,1
233.02,1,0,1
233.22,1,0,1
233.41,1,0,1
233.62,1,0,1
233.82,1,0,1
234.02,1,0,1
234.21,1,0,1
234.41,1,0,1
234.61,1,0,1
234.81,1,0,1
235.02,1,0,1
235.22,1,0,1
235.42,1,0,1
235.62,1,0,1
235.82,1,0,1
236.02,1,0,1
236.21,1,0,1
236.41,1,0,1
236.61,1,0,1
236.82,1,0,1
237.02,1,0,1
237.22,1,0,1
237.42,1,0,1
237.62,1,1,1
237.82,1,0,1
238.01,1,0,1
238.21,1,0,1
238.41,1,0,1
238.61,1,0,1
238.81,1,0,1
239.02,1,0,1
239.22,1,0,1
239.42,1,0,1
239.62,1,0,1
239.82,1,0,1
240.02,1,0,1
240.21,1,0,1
240.41,1,0,1
240.61,1,0,1
240.82,1,0,1
241.02,1,0,1
241.22,1,0,1
241.42,1,0,1
241.62,1,1,1
241.82,1,0,1
242.01,1,0,1
242.21,1,0,1
242.41,1,0,1
242.61,1,0,1
242.81,1,0,1
243.01,1,0,1
243.21,1,0,1
243.41,1,0,1
243.61,1,0,1
243.81,1,0,1
244.01,1,0,1
244.21,1,0,1
244.41,1,0,1
244.61,1,0,1
244.81,1,0,1
245.01,1,0,1
245.21,1,0,1
245.42,1,0,1
245.62,1,0,1
245.81,1,0,1
246.01,1,1,1
246.21,1,0,1
246.41,1,1,1
246.62,1,0,1
246.82,1,0,1
247.01,1,0,1
247.21,1,0,1
247.41,1,0,1
247.62,1,0,1
247.82,1,0,1
248.02,1,0,1
248.21,1,0,1
248.42,1,0,1
248.61,1,0,1
248.81,1,0,1
249.02,1,0,1
249.22,1,0,1
249.42,1,0,1
249.61,1,0,1
249.81,1,0,1
250.01,1,0,1
250.21,1,0,1
250.42,1,0,1
250.62,1,0,1
250.82,1,0,1
251.02,1,0,1
251.22,1,0,1
251.41,1,0,1
251.61,1,0,1
251.81,1,0,1
252.01,1,0,1
252.21,1,1,1
252.41,1,0,1
252.61,1,0,1
252.82,1,1,1
253.02,1,0,1
253.22,1,0,1
253.41,1,0,1
253.61,1,0,1
253.81,1,0,1
254.01,1,0,1
254.22,1,0,1
254.41,1,0,1
254.61,1,0,1
254.81,1,0,1
255.01,1,0,1
255.21,1,0,1
255.41,1,0,1
255.61,1,0,1
255.81,1,0,1
256.01,1,0,1
256.21,1,1,1
256.41,1,0,1
256.61,1,1,1
256.81,1,0,1
257.01,1,0,1
257.21,1,0,1
257.41,1,0,1
257.61,1,0,1
257.82,1,0,1
258.02,1,0,1
258.21,1,0,1
258.42,1,0,1
258.61,1,0,1
258.81,1,0,1
259.02,1,0,1
259.22,1,0,1
259.42,1,0,1
259.62,1,0,1
259.81,1,0,1
260.02,1,0,1
260.22,1,0,1
260.42,1,0,1
260.61,1,0,1
260.82,1,0,1
261.02,1,0,1
261.21,1,0,1
261.41,1,0,1
